"arm_id","tier","system","lane","source_repo","source_commit","checkpoint_id","checkpoint_revision","reproduction_label","stage_eligibility","observation_privileges","decision_or_blocker"
"CB-PX-B3","A","RAVEN-B3","CB-PX","https://github.com/ScottBlizzard/RAVEN-M","08b21d06db165d1fb6908c457f955988061b10ca","Qwen/Qwen3-VL-32B-Instruct","0cfaf48183f594c314753d30a4c4974bc75f3ccb","COMMON_BACKBONE_ADAPTER_COMPARISON","S1|S2|S3","screenshot_only","INCLUDE_CORE"
"CB-PX-M0","A","RAVEN-M0","CB-PX","https://github.com/ScottBlizzard/RAVEN-M","08b21d06db165d1fb6908c457f955988061b10ca","Qwen/Qwen3-VL-32B-Instruct","0cfaf48183f594c314753d30a4c4974bc75f3ccb","COMMON_BACKBONE_ADAPTER_COMPARISON","S1|S2|S3","screenshot_only","INCLUDE_CORE; method_claim_forbidden"
"NS-PX-GO15","A","GUI-Owl-1.5","NS-PX-XP","https://github.com/X-PLUG/MobileAgent","11cea575561fb7800b5fb6b6cafa56f7a91de11f","mPLUG/GUI-Owl-1.5-8B-Think","afe3707fc84caebc4d7046118b34493ecf8bb060","CONFIGURATION_EQUIVALENT_REPRODUCTION","S1|S2|S3","screenshot_only","INCLUDE_CORE"
"NS-PX-MA35","A","Mobile-Agent-v3.5","NS-PX-XP","https://github.com/X-PLUG/MobileAgent","11cea575561fb7800b5fb6b6cafa56f7a91de11f","mPLUG/GUI-Owl-1.5-8B-Think","afe3707fc84caebc4d7046118b34493ecf8bb060","CONFIGURATION_EQUIVALENT_REPRODUCTION","S1|S2|S3","screenshot_only","INCLUDE_CORE"
"NS-PX-SCUA32","A","ScaleCUA-32B","NS-PX","https://github.com/OpenGVLab/ScaleCUA","5d92feea9f1e14b8303ce37da45b286fb1f4d3aa","OpenGVLab/ScaleCUA-32B","9a91c80690b34f2a962203c5ed896ef845b6149c","CONFIGURATION_EQUIVALENT_REPRODUCTION","S1|S2|S3","screenshot_only","INCLUDE_CORE"
"NS-PX-UIV4","A","UI-Voyager","NS-PX","https://github.com/ui-voyager/UI-Voyager","67b65e2be093753ecaa2964f48739339b870813e","MarsXL/UI-Voyager","c262b85f18f1c669b19bca544e0ee2eb71225ff3","CONFIGURATION_EQUIVALENT_REPRODUCTION","S1|S2|S3","screenshot_only","INCLUDE_CORE"
"CB-PX-B0","B","RAVEN-B0","CB-PX","https://github.com/ScottBlizzard/RAVEN-M","08b21d06db165d1fb6908c457f955988061b10ca","Qwen/Qwen3-VL-32B-Instruct","0cfaf48183f594c314753d30a4c4974bc75f3ccb","COMMON_BACKBONE_ADAPTER_COMPARISON","S1|S2","screenshot_only","INCLUDE_DIAGNOSTIC"
"CB-ST-M3A","B","AndroidWorld-M3A-Qwen","CB-ST","https://github.com/google-research/android_world","3e50888527ef9f29b9157ecd537e408008bb1c85","Qwen/Qwen3-VL-32B-Instruct","0cfaf48183f594c314753d30a4c4974bc75f3ccb","COMMON_BACKBONE_ADAPTER_COMPARISON","S1|S2","screenshot_plus_som_ui_element_structure","INCLUDE_DIAGNOSTIC; structured lane only"
"CB-PX-MU","B","MobileUse-MultiAgent-Qwen","CB-PX","https://github.com/MadeAgents/mobile-use","babec07fd0e5faa7e7bcc7d3d0ee2320f6b83347","Qwen/Qwen3-VL-32B-Instruct","0cfaf48183f594c314753d30a4c4974bc75f3ccb","COMMON_BACKBONE_ADAPTER_COMPARISON","S1|S2","screenshot_only","INCLUDE_DIAGNOSTIC; external tools RAG search disabled"
"EX-COLOR","X","ColorMobileAgent","NS-PX","https://github.com/MadeAgents/mobile-use","babec07fd0e5faa7e7bcc7d3d0ee2320f6b83347","ColorGUI-32B","UNFROZEN","PAPER_ONLY_REPORTED_REFERENCE","NONE","screenshot_only","EXCLUDE_INITIAL: exact checkpoint/config not frozen"
"EX-DROID","X","DroidRun","PR-A11Y","https://github.com/droidrun/droidrun-android-world","5090130394bc93a6e2bd8069e4c2d6b9c05aa112","UNFROZEN","UNFROZEN","PAPER_ONLY_REPORTED_REFERENCE","NONE","privileged_accessibility_tools","EXCLUDE_CORE: privilege and compatibility unresolved"
"EX-UITARS","X","UI-TARS-1.5","NS-PX","https://github.com/bytedance/UI-TARS","582f3a7ea5d285ee8ed9e2e84048d1ab01453c49","UI-TARS-1.5-7B","UNFROZEN","PAPER_ONLY_REPORTED_REFERENCE","NONE","screenshot_only","NO VERIFIED OFFICIAL ANDROIDWORLD RUNNER"
"EX-VLAA","X","VLAA-GUI","MECHANISM_PRIOR","https://github.com/UCSC-VLAA/VLAA-GUI","6a086a3e345bc5aa56418d0939e6435c09b5e0e9","N/A","N/A","MECHANISM_PORT","NONE","desktop","MECHANISM PRIOR ONLY"
"EX-K2","X","K2-Agent","REPORTED_REFERENCE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","PAPER_ONLY_REPORTED_REFERENCE","NONE","unknown","TRAJECTORIES WITHOUT VERIFIED FULL RECIPE"
