source_id,category,name,url,accessed_at,status,local_target,notes
S001,assessment,夏令营考核题目,local-copy,2026-07-20,verified_primary,00_admin/assessment/夏令营考核题目.pdf,用户提供的考核原文
S002,benchmark,AndroidWorld official repository,https://github.com/google-research/android_world,2026-07-20,verified_primary,03_code/third_party/android_world,官方仓库；当前 README 报告 116 tasks/20 apps
S003,benchmark,AndroidWorld paper,https://openreview.net/forum?id=il5yUQsrjC,2026-07-20,verified_primary,02_literature/papers/P0_must_read/01_AndroidWorld.pdf,ICLR 2025；OpenReview 网页可能触发浏览器验证
S004,benchmark,AndroidWorld project page,https://google-research.github.io/android_world/,2026-07-20,verified_primary,01_sources/official/androidworld/project_page.html,动态网页需快照
S005,benchmark,AndroidWorld task list,https://google-research.github.io/android_world/task_list.html,2026-07-20,verified_primary,01_sources/official/androidworld/task_list.html,Hard 标签最终以冻结 commit/page 共同核验
S006,model,Qwen3-VL official repository,https://github.com/QwenLM/Qwen3-VL,2026-07-20,verified_primary,03_code/third_party/Qwen3-VL,只克隆代码；本阶段不下载权重
S007,model,Qwen3-VL-32B-Instruct model card,https://huggingface.co/Qwen/Qwen3-VL-32B-Instruct,2026-07-20,verified_primary,01_sources/official/qwen3_vl/model_card.html,exact requested checkpoint
S008,model,Qwen3-VL mobile-agent cookbook,https://github.com/QwenLM/Qwen3-VL/blob/main/cookbooks/mobile_agent.ipynb,2026-07-20,verified_primary,01_sources/official/qwen3_vl/mobile_agent.ipynb,动作格式和坐标约定来源
S009,person,Sheng Zhou official homepage,https://zhoushengisnoob.github.io/,2026-07-20,verified_primary,01_sources/official/people_lab/sheng_zhou_homepage.html,身份与最新论文/代码反向确认
S010,lab,Eagle Lab official website,https://eagle.zju.edu.cn/,2026-07-20,verified_primary,01_sources/official/people_lab/eagle_lab.html,实验室官方入口
S011,proceedings,ACL Anthology,https://aclanthology.org/,2026-07-20,verified_primary,01_sources/official/,ACL 2026 条目与 BibTeX 一级来源
S012,proceedings,AAAI Proceedings,https://ojs.aaai.org/index.php/AAAI,2026-07-20,verified_primary,01_sources/official/,HAR-GUI 与 ProBench 一级来源
S013,proceedings,IEEE CVF Open Access,https://openaccess.thecvf.com/,2026-07-20,verified_primary,01_sources/official/,MP-GUI 与 iSHIFT 一级来源
S014,proceedings,NeurIPS Proceedings,https://proceedings.neurips.cc/,2026-07-20,verified_primary,01_sources/official/,Mobile-Agent-v2/MobileUse/GUI-Critic-R1 一级来源

